,school,district,city,state,county,address,zip,school_sample,cleaned
0,El Puente,North Clackamas Sd 12,Milwaukie,OR,Clackamas County,11250 SE 27th Ave,97222,0,Elementary Puente
1,Happy Valley Elementary School,North Clackamas Sd 12,Happy Valley,OR,Clackamas County,13865 SE King Rd,97086,0,Happy Valley Elementary School
2,Mount Scott Elementary School,North Clackamas Sd 12,Happy Valley,OR,Clackamas County,11201 SE Stevens Rd,97086,0,Mount Scott Elementary School
3,New Urban High School,North Clackamas Sd 12,Milwaukie,OR,Clackamas County,1901 SE Oak Grove Blvd,97267,1,New Urban High School
4,Rowe Middle School,North Clackamas Sd 12,Milwaukie,OR,Clackamas County,3606 SE Lake Rd,97222,1,Rowe Middle School
5,Happy Valley Middle School,North Clackamas Sd 12,Happy Valley,OR,Clackamas County,13865 SE King Rd,97086,0,Happy Valley Middle School
6,Putnam High School,North Clackamas Sd 12,Milwaukie,OR,Clackamas County,4950 SE Roethe Rd,97267,0,Putnam High School
7,Verne A Duncan Elementary School,North Clackamas Sd 12,Happy Valley,OR,Clackamas County,14898 SE Parklane Dr,97015,0,Verne A Duncan Elementary School
8,Oak Grove Elementary,North Clackamas Sd 12,Milwaukie,OR,Clackamas County,2150 SE Torbank Rd,97222,0,Oak Grove Elementary School
9,Sojourner School,North Clackamas Sd 12,Milwaukie,OR,Clackamas County,11909 SE Linwood Ave,97222,0,Sojourner School
10,Linwood Elementary School,North Clackamas Sd 12,Milwaukie,OR,Clackamas County,11909 SE Linwood Ave,97222,0,Linwood Elementary School
11,View Acres Elementary School,North Clackamas Sd 12,Milwaukie,OR,Clackamas County,4828 SE View Acres Rd,97267,0,View Acres Elementary School
12,Riverside Elementary School,North Clackamas Sd 12,Milwaukie,OR,Clackamas County,16303 SE River Rd,97267,1,Riverside Elementary School
13,Sunnyside Elementary School,North Clackamas Sd 12,Clackamas,OR,Clackamas County,13401 SE 132nd Ave,97015,0,Sunnyside Elementary School
14,Whitcomb Elementary School,North Clackamas Sd 12,Milwaukie,OR,Clackamas County,7400 SE Thompson Rd,97222,0,Whitcomb Elementary School
15,Scouters Mountain Elementary,North Clackamas Sd 12,Happy Valley,OR,Clackamas County,10811 SE 172nd Ave,97086,0,Scouters Mountain Elementary School
16,Oregon Trail Elementary School,North Clackamas Sd 12,Clackamas,OR,Clackamas County,13895 SE 152nd Dr,97015,1,Oregon Trail Elementary School
17,Alder Creek Middle School,North Clackamas Sd 12,Milwaukie,OR,Clackamas County,13801 SE Webster Rd,97267,1,Alder Creek Middle School
18,Spring Mountain Elementary School,North Clackamas Sd 12,Happy Valley,OR,Clackamas County,11645 SE Masa Ln,97086,0,Spring Mountain Elementary School
19,Lewelling Elementary School,North Clackamas Sd 12,Milwaukie,OR,Clackamas County,5325 SE Logus Rd,97222,0,Lewelling Elementary School
20,Ardenwald Elementary School,North Clackamas Sd 12,Milwaukie,OR,Clackamas County,8950 SE 36th St,97222,0,Ardenwald Elementary School
21,Milwaukie High School,North Clackamas Sd 12,Milwaukie,OR,Clackamas County,2301 SE Willard St.,97222,1,Milwaukie High School
22,Milwaukie Elementary School,North Clackamas Sd 12,Milwaukie,OR,Clackamas County,11250 SE 27th Ave,97222,0,Milwaukie Elementary School
23,Bilquist Elementary School,North Clackamas Sd 12,Milwaukie,OR,Clackamas County,15708 SE Webster Rd,97267,0,Bilquist Elementary School
24,Rock Creek Middle School,North Clackamas Sd 12,Happy Valley,OR,Clackamas County,14897 SE Parklane Dr,97015,0,Rock Creek Middle School
25,Clackamas High School,North Clackamas Sd 12,Clackamas,OR,Clackamas County,14486 SE 122nd Ave,97015,0,Clackamas High School
26,Phyllis R. Miller Elementary School,Dade,Miami,FL,Miami-Dade County,840 NE 87TH ST,33138,0,Phyllis R. Miller Elementary School
27,Dr. Henry E. Perrine Academy Of The Arts,Dade,Palmetto Bay,FL,Miami-Dade County,8851 SW 168TH ST,33157,0,Dr. Henry E. Perrine Academy Of The Arts
28,Edison Park K-8 Center,Dade,Miami,FL,Miami-Dade County,500 NW 67TH ST,33150,0,Edison Park K-8 Center
29,Biscayne Gardens Elementary,Dade,Miami,FL,Miami-Dade County,560 NW 151ST ST,33169,0,Biscayne Gardens Elementary School
30,W. J. Bryan Elementary,Dade,North Miami,FL,Miami-Dade County,1201 NE 125TH ST,33161,0,W. J. Bryan Elementary School
31,Coral Gables Preparatory Academy,Dade,Coral Gables,FL,Miami-Dade County,105 MINORCA AVE,33134,0,Coral Gables Preparatory Academy
32,Leisure City K-8 Center,Dade,Homestead,FL,Miami-Dade County,14950 SW 288TH ST,33033,0,Leisure City K-8 Center
33,Caribbean K-8 Center,Dade,Miami,FL,Miami-Dade County,11990 SW 200TH ST,33177,0,Caribbean K-8 Center
34,Young Men'S Preparatory Academy,Dade,Miami,FL,Miami-Dade County,3001 NW 2ND AVE,33127,0,Young Men'S Preparatory Academy
35,E.W.F. Stirrup Elementary School,Dade,Miami,FL,Miami-Dade County,330 NW 97TH AVE,33172,0,E.W.F. Stirrup Elementary School
36,Coconut Grove Elementary School,Dade,Coconut Grove,FL,Miami-Dade County,3351 MATILDA ST,33133,0,Coconut Grove Elementary School
37,Oak Grove Elementary School,Dade,Miami,FL,Miami-Dade County,15640 NE 8TH AVE,33162,0,Oak Grove Elementary School
38,Westland Hialeah Senior High School,Dade,Hialeah,FL,Miami-Dade County,4000 W 18TH AVE,33012,0,Westland Hialeah Senior High School
39,Chapman Partnership Early Childhood Center N,Dade,Miami,FL,Miami-Dade County,1550 N MIAMI AVE,33136,0,Chapman Partnership Early Childhood Center N
40,John F. Kennedy Middle School,Dade,North Miami Beach,FL,Miami-Dade County,1075 NE 167TH ST,33162,0,John F. Kennedy Middle School
41,Andover Middle School,Dade,Miami,FL,Miami-Dade County,121 NE 207TH ST,33179,0,Andover Middle School
42,Biscayne Elementary School,Dade,Miami Beach,FL,Miami-Dade County,800 77TH ST,33141,0,Biscayne Elementary School
43,Henry M. Flagler Elementary School,Dade,Miami,FL,Miami-Dade County,5222 NW 1ST ST,33126,0,Henry M. Flagler Elementary School
44,Flamingo Elementary School,Dade,Hialeah,FL,Miami-Dade County,701 E 33RD ST,33013,0,Flamingo Elementary School
45,Gloria Floyd Elementary School,Dade,Miami,FL,Miami-Dade County,12650 SW 109TH AVE,33176,0,Gloria Floyd Elementary School
46,Coral Gables Senior High School,Dade,Coral Gables,FL,Miami-Dade County,450 BIRD RD,33146,0,Coral Gables Senior High School
47,Greynolds Park Elementary School,Dade,North Miami Beach,FL,Miami-Dade County,1536 NE 179TH ST,33162,0,Greynolds Park Elementary School
48,Gulfstream Elementary School,Dade,Cutler Bay,FL,Miami-Dade County,20900 SW 97TH AVE,33189,0,Gulfstream Elementary School
49,John I. Smith K-8 Center,Dade,Doral,FL,Miami-Dade County,10415 NW 52ND ST,33178,0,John I. Smith K-8 Center
50,Thena Crowder Early Childhood Diagnostic Special Education C,Dade,Miami,FL,Miami-Dade County,757 NW 66TH ST,33150,0,Thena Crowder Early Childhood Diagnostic Special Education C
51,Kendale Lakes Elementary School,Dade,Miami,FL,Miami-Dade County,8000 SW 142ND AVE,33183,0,Kendale Lakes Elementary School
52,Shadowlawn Elementary School,Dade,Miami,FL,Miami-Dade County,149 NW 49TH ST,33127,0,Shadowlawn Elementary School
53,Ruben Dario Middle School,Dade,Miami,FL,Miami-Dade County,350 NW 97TH AVE,33172,0,Ruben Dario Middle School
54,Dr. Rolando Espinosa K-8 Center,Dade,Doral,FL,Miami-Dade County,11250 NW 86TH ST,33178,0,Dr. Rolando Espinosa K-8 Center
55,Village Green Elementary School,Dade,Miami,FL,Miami-Dade County,12265 SW 34TH ST,33175,0,Village Green Elementary School
56,Oliver Hoover Elementary School,Dade,Miami,FL,Miami-Dade County,9050 HAMMOCKS BLVD,33196,0,Oliver Hoover Elementary School
57,Lorah Park Elementary School,Dade,Miami,FL,Miami-Dade County,5160 NW 31ST AVE,33142,0,Lorah Park Elementary School
58,Miami-Dade Online Academy- Virtual Instruction Program,Dade,Miami,FL,Miami-Dade County,1501 NE 2ND AVE  STE 336,33132,0,Miami-Dade Online Academy- Virtual Instruction Program
59,Charles David Wyche Jr Elementary School,Dade,Miami Gardens,FL,Miami-Dade County,5241 NW 195TH DR,33055,0,Charles David Wyche Jr Elementary School
60,South Miami Middle School,Dade,South Miami,FL,Miami-Dade County,6750 SW 60TH ST,33143,0,South Miami Middle School
61,Miami Lakes K-8 Center,Dade,Hialeah,FL,Miami-Dade County,14250 NW 67TH AVE,33014,0,Miami Lakes K-8 Center
62,Miami Park Elementary School,Dade,Miami,FL,Miami-Dade County,2225 NW 103RD ST,33147,0,Miami Park Elementary School
63,Citrus Health Sipp/Crisis,Dade,Hialeah,FL,Miami-Dade County,4175 W 20TH AVE,33012,0,Citrus Health Sipp/Crisis
64,North Miami Senior High School,Dade,North Miami,FL,Miami-Dade County,13110 NE 8TH AVE,33161,0,North Miami Senior High School
65,Myrtle Grove K-8 Center,Dade,Opa Locka,FL,Miami-Dade County,3125 NW 176TH ST,33056,0,Myrtle Grove K-8 Center
66,Mandarin Lakes K-8 Academy,Dade,Homestead,FL,Miami-Dade County,12225 SW 280TH ST,33032,0,Mandarin Lakes K-8 Academy
67,Norland Elementary School,Dade,Miami,FL,Miami-Dade County,19340 NW 8TH CT,33169,0,Norland Elementary School
68,North County K-8 Center,Dade,Miami Gardens,FL,Miami-Dade County,3250 NW 207TH ST,33056,0,North County K-8 Center
69,Norwood Elementary School,Dade,Miami,FL,Miami-Dade County,19810 NW 14TH CT,33169,0,Norwood Elementary School
70,Agenoria S Paschal/Olinda Elementary School,Dade,Miami,FL,Miami-Dade County,5536 NW 21ST AVE,33142,0,Agenoria S Paschal/Olinda Elementary School
71,Dr. Gilbert L. Porter Elementary School,Dade,Miami,FL,Miami-Dade County,15851 SW 112TH ST,33196,0,Dr. Gilbert L. Porter Elementary School
72,Norman S. Edelcup/Sunny Isles Beach K-8,Dade,Sunny Isles Beach,FL,Miami-Dade County,201 182ND DR,33160,0,Norman S. Edelcup/Sunny Isles Beach K-8
73,Laura C. Saunders Elementary School,Dade,Homestead,FL,Miami-Dade County,505 SW 8TH ST,33030,0,Laura C. Saunders Elementary School
74,Palm Lakes Elementary School,Dade,Hialeah,FL,Miami-Dade County,7450 W 16TH AVE,33014,0,Palm Lakes Elementary School
75,Rockway Middle School,Dade,Miami,FL,Miami-Dade County,9393 SW 29TH TER,33165,0,Rockway Middle School
76,Dr. Frederica S. Wilson/Skyway Elementary School,Dade,Miami Gardens,FL,Miami-Dade County,4555 NW 206TH TER,33055,0,Dr. Frederica S. Wilson/Skyway Elementary School
77,North Dade Middle School,Dade,Miami Gardens,FL,Miami-Dade County,1840 NW 157TH ST,33054,0,North Dade Middle School
78,Miami Heights Elementary School,Dade,Miami,FL,Miami-Dade County,17661 SW 117TH AVE,33177,0,Miami Heights Elementary School
79,Dr. Michael M. Krop Senior High,Dade,Miami,FL,Miami-Dade County,1410 NE 215TH ST,33179,0,Dr. Michael M. Krop Senior High School
80,Rainbow Park Elementary School,Dade,Opa Locka,FL,Miami-Dade County,15355 NW 19TH AVE,33054,0,Rainbow Park Elementary School
81,James H. Bright Elementary/J.W. Johnson Elementary,Dade,Hialeah,FL,Miami-Dade County,2530 W 10TH AVE,33010,0,James H. Bright Elementary/J.W. Johnson Elementary School
82,Redondo Elementary School,Dade,Homestead,FL,Miami-Dade County,18480 SW 304TH ST,33030,0,Redondo Elementary School
83,Avocado Elementary School,Dade,Homestead,FL,Miami-Dade County,16969 SW 294TH ST,33030,0,Avocado Elementary School
84,Frank Crawford Martin K-8 Center,Dade,Miami,FL,Miami-Dade County,14250 BOGGS DR,33176,0,Frank Crawford Martin K-8 Center
85,Shenandoah Elementary School,Dade,Miami,FL,Miami-Dade County,1023 SW 21ST AVE,33135,0,Shenandoah Elementary School
86,Gertrude K. Edelman/Sabal Palm,Dade,North Miami Beach,FL,Miami-Dade County,17101 NE 7TH AVE,33162,0,Gertrude K. Edelman/Sabal Palm
87,Ojus Elementary School,Dade,Miami,FL,Miami-Dade County,18600 W DIXIE HWY,33180,0,Ojus Elementary School
88,Natural Bridge Elementary School,Dade,North Miami,FL,Miami-Dade County,1650 NE 141ST ST,33181,0,Natural Bridge Elementary School
89,Miami Coral Park High Adult Education,Dade,Miami,FL,Miami-Dade County,8865 SW 16TH ST,33165,0,Miami Coral Park High Adult Education
90,Joella Good Elementary School,Dade,Hialeah,FL,Miami-Dade County,6350 NW 188TH TER,33015,0,Joella Good Elementary School
91,Chapman Partnership Early Childhood Center South,Dade,Homestead,FL,Miami-Dade County,28205 SW 124TH PL,33033,0,Chapman Partnership Early Childhood Center South
92,Madison Middle School,Dade,Miami,FL,Miami-Dade County,3400 NW 87TH ST,33147,0,Madison Middle School
93,Homestead Middle School,Dade,Homestead,FL,Miami-Dade County,650 NW 2ND AVE,33030,0,Homestead Middle School
94,Terra Environmental Research Institute,Dade,Miami,FL,Miami-Dade County,11005 SW 84TH ST,33173,0,Terra Environmental Research Institute
95,Hialeah Gardens Middle School,Dade,Hialeah Gardens,FL,Miami-Dade County,11690 NW 92ND AVE,33018,0,Hialeah Gardens Middle School
96,Bunche Park Elementary School,Dade,Miami Gardens,FL,Miami-Dade County,16001 BUNCHE PARK DR,33054,0,Bunche Park Elementary School
97,School For Advanced Studies Homestead,Dade,Homestead,FL,Miami-Dade County,500 COLLEGE TER,33030,0,School For Advanced Studies Homestead
98,Redland Middle School,Dade,Homestead,FL,Miami-Dade County,16001 SW 248TH ST,33031,0,Redland Middle School
99,Rockway Elementary School,Dade,Miami,FL,Miami-Dade County,2790 SW 93RD CT,33165,0,Rockway Elementary School
100,Parkview Elementary School,Dade,Opa Locka,FL,Miami-Dade County,17631 NW 20TH AVE,33056,0,Parkview Elementary School
101,Lillie C. Evans K-8 Center,Dade,Miami,FL,Miami-Dade County,1895 NW 75TH ST,33147,0,Lillie C. Evans K-8 Center
102,Miami Springs Senior High Adult,Dade,Miami Springs,FL,Miami-Dade County,751 DOVE AVE,33166,0,Miami Springs Senior High Adult
103,Coral Terrace Elementary School,Dade,Miami,FL,Miami-Dade County,6801 SW 24TH ST,33155,0,Coral Terrace Elementary School
104,Ludlam Elementary School,Dade,South Miami,FL,Miami-Dade County,6639 SW 74TH ST,33143,0,Ludlam Elementary School
105,Miami Senior High School,Dade,Miami,FL,Miami-Dade County,2450 SW 1ST ST,33135,0,Miami Senior High School
106,Miami Youth Academy,Dade,Miami,FL,Miami-Dade County,10855 SW 84 ST,33173,0,Miami Youth Academy
107,Dr. Henry W. Mack/West Little River K-8 Center,Dade,Miami,FL,Miami-Dade County,2450 NW 84TH ST,33147,0,Dr. Henry W. Mack/West Little River K-8 Center
108,Palm Springs Elementary School,Dade,Hialeah,FL,Miami-Dade County,6304 E 1ST AVE,33013,0,Palm Springs Elementary School
109,Eneida M. Hartner Elementary School,Dade,Miami,FL,Miami-Dade County,401 NW 29TH ST,33127,0,Eneida M. Hartner Elementary School
110,Miami Killian Senior High School,Dade,Miami,FL,Miami-Dade County,10655 SW 97TH AVE,33176,0,Miami Killian Senior High School
111,Palm Springs North Elementary School,Dade,Hialeah,FL,Miami-Dade County,17615 NW 82ND AVE,33015,0,Palm Springs North Elementary School
112,Dr. Manuel C. Barreiro Elementary School,Dade,Miami,FL,Miami-Dade County,5125 SW 162ND AVE,33185,0,Dr. Manuel C. Barreiro Elementary School
113,Instructional Center System Wide,Dade,Miami,FL,Miami-Dade County,11001 SW 76TH ST RM 82,33173,0,Instructional Center System Wide
114,Brucie Ball Educational Center,Dade,Miami,FL,Miami-Dade County,11001 SW 76TH ST,33173,0,Brucie Ball Educational Center
115,Comstock Elementary School,Dade,Miami,FL,Miami-Dade County,2420 NW 18TH AVE,33142,0,Comstock Elementary School
116,William H. Turner Technical Arts High School,Dade,Miami,FL,Miami-Dade County,10151 NW 19TH AVE,33147,0,William H. Turner Technical Arts High School
117,Miami Bridge North,Dade,Miami,FL,Miami-Dade County,2810 NW S RIV DR,33125,0,Miami Bridge North
118,Cutler Bay Senior High School,Dade,Cutler Bay,FL,Miami-Dade County,8601 SW 212TH ST,33189,0,Cutler Bay Senior High School
119,Miami Macarthur South,Dade,Naranja,FL,Miami-Dade County,13990 SW 264TH ST,33032,0,Miami Macarthur South
120,North Miami Beach Senior High,Dade,North Miami Beach,FL,Miami-Dade County,1247 NE 167TH ST,33162,0,North Miami Beach Senior High School
121,G. Holmes Braddock Senior High,Dade,Miami,FL,Miami-Dade County,3601 SW 147TH AVE,33185,0,G. Holmes Braddock Senior High School
122,Bowman Ashe/Doolin K-8 Academy,Dade,Miami,FL,Miami-Dade County,6601 SW 152ND AVE,33193,0,Bowman Ashe/Doolin K-8 Academy
123,Ethel F. Beckford/Richmond Primary Learning Center,Dade,Miami,FL,Miami-Dade County,16929 SW 104TH AVE,33157,0,Ethel F. Beckford/Richmond Primary Learning Center
124,Center For International Education A Cambridge Associate Sch,Dade,Homestead,FL,Miami-Dade County,900 NE 23RD AVE,33033,0,Center For International Education A Cambridge Associate School
125,North Glade Elementary School,Dade,Miami Gardens,FL,Miami-Dade County,5000 NW 177TH ST,33055,0,North Glade Elementary School
126,Olympia Heights Elementary School,Dade,Miami,FL,Miami-Dade County,9797 SW 40TH ST,33165,0,Olympia Heights Elementary School
127,Pinecrest Elementary School,Dade,Miami,FL,Miami-Dade County,10250 SW 57TH AVE,33156,0,Pinecrest Elementary School
128,Henry E.S. Reeves Elementary School,Dade,Miami,FL,Miami-Dade County,2005 NW 111TH ST,33167,0,Henry E.S. Reeves Elementary School
129,Sweetwater Elementary School,Dade,Miami,FL,Miami-Dade County,10655 SW 4TH ST,33174,0,Sweetwater Elementary School
130,Lamar Louise Curry Middle School,Dade,Miami,FL,Miami-Dade County,15750 SW 47TH ST,33185,0,Lamar Louise Curry Middle School
131,Linda Lentin K-8 Center,Dade,North Miami Beach,FL,Miami-Dade County,14312 NE 2ND CT,33161,0,Linda Lentin K-8 Center
132,Cutler Bay Middle,Dade,Cutler Bay,FL,Miami-Dade County,19400 GULFSTREAM RD,33157,0,Cutler Bay Middle School
133,Seminole Elementary School,Dade,Miami,FL,Miami-Dade County,121 SW 78TH PL,33144,0,Seminole Elementary School
134,Gateway Environmental K-8 Learning Center,Dade,Homestead,FL,Miami-Dade County,955 SE 18TH AVE,33035,0,Gateway Environmental K-8 Learning Center
135,Miami Northwestern Senior High,Dade,Miami,FL,Miami-Dade County,1100 NW 71ST ST,33150,0,Miami Northwestern Senior High School
136,Hammocks Middle School,Dade,Miami,FL,Miami-Dade County,9889 HAMMOCKS BLVD,33196,0,Hammocks Middle School
137,Miami Springs Senior High School,Dade,Miami Springs,FL,Miami-Dade County,751 DOVE AVE,33166,0,Miami Springs Senior High School
138,Martin Luther King Elementary School,Dade,Miami,FL,Miami-Dade County,7124 NW 12TH AVE,33150,0,Martin Luther King Elementary School
139,Miami Lakes Educational Center,Dade,Miami Lakes,FL,Miami-Dade County,5780 NW 158TH ST,33014,0,Miami Lakes Educational Center
140,Coconut Palm K-8 Academy,Dade,Homestead,FL,Miami-Dade County,24400 SW 124TH AVE,33032,0,Coconut Palm K-8 Academy
141,Ronald W. Reagan/Doral Senior High School,Dade,Doral,FL,Miami-Dade County,8600 NW 107TH AVE,33178,0,Ronald W. Reagan/Doral Senior High School
142,Horace Mann Middle School,Dade,El Portal,FL,Miami-Dade County,8950 NW 2ND AVE,33150,0,Horace Mann Middle School
143,Hialeah Gardens Senior High School,Dade,Hialeah Gardens,FL,Miami-Dade County,11700 HIALEAH GARDENS BLVD,33018,0,Hialeah Gardens Senior High School
144,Young Womens Preparatory Academy,Dade,Miami,FL,Miami-Dade County,1150 SW 1ST ST,33130,0,Young Womens Preparatory Academy
145,District Summer Center G,Dade,Miami,FL,Miami-Dade County,1500 BISCAYNE BLVD,33132,0,District Summer Center G
146,Miami Beach Adult & Community Ed Center,Dade,Miami Beach,FL,Miami-Dade County,1424 DREXEL AVE,33139,0,Miami Beach Adult & Community Ed Center
147,Esy Summer Center,Dade,Miami,FL,Miami-Dade County,1500 BISCAYNE BLVD RM 409C,33132,0,Esy Summer Center
148,Greenglade Elementary School,Dade,Miami,FL,Miami-Dade County,3060 SW 127TH AVE,33175,0,Greenglade Elementary School
149,Hialeah Senior High Adult Education Center,Dade,Hialeah,FL,Miami-Dade County,251 E 47TH ST,33013,0,Hialeah Senior High Adult Education Center
150,Miami Lakes Educational Center And Technical College,Dade,Miami Lakes,FL,Miami-Dade County,5780 NW 158TH ST,33014,0,Miami Lakes Educational Center And Technical College
151,Vineland K-8 Center,Dade,Miami,FL,Miami-Dade County,8455 SW 119TH ST,33156,0,Vineland K-8 Center
152,Turner/Guilford/Knight,Dade,Miami,FL,Miami-Dade County,7000 NW 41ST ST,33166,0,Turner/Guilford/Knight
153,Ethel Koger Beckham Elementary,Dade,Miami,FL,Miami-Dade County,4702 SW 143RD CT,33175,0,Ethel Koger Beckham Elementary School
154,Herbert A. Ammons Middle School,Dade,Miami,FL,Miami-Dade County,17990 SW 142ND AVE,33177,1,Herbert A. Ammons Middle School
155,W. R. Thomas Middle School,Dade,Miami,FL,Miami-Dade County,13001 SW 26TH ST,33175,0,W. R. Thomas Middle School
156,Design & Architecture Senior High,Dade,Miami,FL,Miami-Dade County,4001 NE 2ND AVE,33137,0,Design & Architecture Senior High School
157,District Summer Center F,Dade,Hialeah,FL,Miami-Dade County,6027 E 7TH AVE,33013,0,District Summer Center F
158,Miami Shores Elementary School,Dade,Miami Shores,FL,Miami-Dade County,10351 NE 5TH AVE,33138,0,Miami Shores Elementary School
159,Ponce De Leon Middle School,Dade,Coral Gables,FL,Miami-Dade County,5801 AUGUSTO ST,33146,0,Ponce De Leon Middle School
160,Hibiscus Elementary School,Dade,Miami,FL,Miami-Dade County,18701 NW 1ST AVE,33169,0,Hibiscus Elementary School
161,Colonial Drive Elementary School,Dade,Miami,FL,Miami-Dade County,10755 SW 160TH ST,33157,0,Colonial Drive Elementary School
162,I Preparatory Academy,Dade,Miami,FL,Miami-Dade County,1500 BISCAYNE BLVD STE 129,33132,0,I Preparatory Academy
163,Robert Russa Moton Elementary School,Dade,Perrine,FL,Miami-Dade County,18050 HOMESTEAD AVE,33157,0,Robert Russa Moton Elementary School
164,Secondary Student Success Center 803,Dade,Miami,FL,Miami-Dade County,18180 SW 122ND AVE,33177,0,Secondary Student Success Center 803
165,Nathan B. Young Elementary School,Dade,Opa Locka,FL,Miami-Dade County,14120 NW 24TH AVE,33054,0,Nathan B. Young Elementary School
166,Secondary Student Success Center 801,Dade,Miami,FL,Miami-Dade County,2349 NW 175TH ST,33160,0,Secondary Student Success Center 801
167,Flagami Elementary School,Dade,Miami,FL,Miami-Dade County,920 SW 76TH AVE,33144,0,Flagami Elementary School
168,Arthur And Polly Mays Conservatory Of The Arts,Dade,Goulds,FL,Miami-Dade County,11700 SW 216TH ST,33170,0,Arthur And Polly Mays Conservatory Of The Arts
169,Kelsey L. Pharr Elementary School,Dade,Miami,FL,Miami-Dade County,2000 NW 46TH ST,33142,0,Kelsey L. Pharr Elementary School
170,District Summer Center C,Dade,Miami,FL,Miami-Dade County,1500 BISCAYNE BLVD,33132,0,District Summer Center C
171,Coral Reef Senior High School,Dade,Miami,FL,Miami-Dade County,10101 SW 152ND ST,33157,0,Coral Reef Senior High School
172,Citrus Grove Middle School,Dade,Miami,FL,Miami-Dade County,2153 NW 3RD ST,33125,0,Citrus Grove Middle School
173,District Summer Center E,Dade,Miami,FL,Miami-Dade County,1500 BISCAYNE BLVD,33132,0,District Summer Center E
174,Henry H. Filer Middle School,Dade,Hialeah,FL,Miami-Dade County,531 W 29TH ST,33012,0,Henry H. Filer Middle School
175,Path Academy,Dade,Miami,FL,Miami-Dade County,6300 NW 27TH AVE,33147,0,Path Academy
176,Riviera Middle School,Dade,Miami,FL,Miami-Dade County,10301 SW 48TH ST,33165,0,Riviera Middle School
177,Campbell Drive K-8 Center,Dade,Homestead,FL,Miami-Dade County,15790 SW 307TH ST,33033,0,Campbell Drive K-8 Center
178,Whispering Pines Elementary School,Dade,Miami,FL,Miami-Dade County,18929 SW 89TH RD,33157,0,Whispering Pines Elementary School
179,Glades Middle School,Dade,Miami,FL,Miami-Dade County,9451 SW 64TH ST,33173,0,Glades Middle School
180,Ada Merritt K-8 Center,Dade,Miami,FL,Miami-Dade County,660 SW 3RD ST,33130,0,Ada Merritt K-8 Center
181,Barbara Hawkins Elementary School,Dade,Miami Gardens,FL,Miami-Dade County,19010 NW 37TH AVE,33056,0,Barbara Hawkins Elementary School
182,Ernest R. Graham K-8 Academy,Dade,Hialeah,FL,Miami-Dade County,7330 W 32ND AVE,33018,0,Ernest R. Graham K-8 Academy
183,Miami Norland Senior High School,Dade,Miami,FL,Miami-Dade County,1050 NW 195TH ST,33169,0,Miami Norland Senior High School
184,Teenage Parent Program,Dade,Miami,FL,Miami-Dade County,6300 NW 27TH AVE RM 92,33147,0,Teenage Parent Program
185,Thomas Jefferson Middle School,Dade,Miami,FL,Miami-Dade County,525 NW 147TH ST,33168,0,Thomas Jefferson Middle School
186,Jane S. Roberts K-8 Center,Dade,Miami,FL,Miami-Dade County,14850 COTTONWOOD CIR,33185,0,Jane S. Roberts K-8 Center
187,Highland Oaks Middle School,Dade,Miami,FL,Miami-Dade County,2375 NE 203RD ST,33180,0,Highland Oaks Middle School
188,Miami-Dade Virtual High School Franchise,Dade,Miami,FL,Miami-Dade County,1501 NE 2ND AVE,33132,0,Miami-Dade Virtual High School Franchise
189,Frederick R. Douglass Elementary,Dade,Miami,FL,Miami-Dade County,314 NW 12TH ST,33136,0,Frederick R. Douglass Elementary School
190,Palm Springs Middle School,Dade,Hialeah,FL,Miami-Dade County,1025 W 56TH ST,33012,0,Palm Springs Middle School
191,Palmetto Middle School,Dade,Miami,FL,Miami-Dade County,7351 SW 128TH ST,33156,0,Palmetto Middle School
192,Robert Renick Education Center,Dade,Opa Locka,FL,Miami-Dade County,2201 NW 207TH ST,33056,0,Robert Renick Education Center
193,Arvida Middle School,Dade,Miami,FL,Miami-Dade County,10900 SW 127TH AVE,33186,0,Arvida Middle School
194,Kendale Elementary School,Dade,Miami,FL,Miami-Dade County,10693 SW 93RD ST,33176,0,Kendale Elementary School
195,Charles R Drew K-8 Center,Dade,Miami,FL,Miami-Dade County,1775 NW 60TH ST,33142,0,Charles R Drew K-8 Center
196,Paul W. Bell Middle School,Dade,Miami,FL,Miami-Dade County,11800 NW 2ND ST,33182,0,Paul W. Bell Middle School
197,N Dade Center For Modern Language,Dade,Miami Gardens,FL,Miami-Dade County,1840 NW 157TH ST,33054,0,N Dade Center For Modern Language
198,John A. Ferguson Senior High,Dade,Miami,FL,Miami-Dade County,15900 SW 56TH ST,33185,0,John A. Ferguson Senior High School
199,Melrose Elementary School,Dade,Miami,FL,Miami-Dade County,3050 NW 35TH ST,33142,0,Melrose Elementary School
200,Aventura Waterways K-8 Center,Dade,Miami,FL,Miami-Dade County,21101 NE 26TH AVE,33180,0,Aventura Waterways K-8 Center
201,Carol City Middle School,Dade,Miami Gardens,FL,Miami-Dade County,3737 NW 188TH ST,33055,0,Carol City Middle School
202,Dr. William A. Chapman Elementary School,Dade,Homestead,FL,Miami-Dade County,27190 SW 140TH AVE,33032,0,Dr. William A. Chapman Elementary School
203,Air Base K-8 Center For International Education,Dade,Homestead,FL,Miami-Dade County,12829 SW 272ND ST,33032,0,Air Base K-8 Center For International Education
204,Here'S Help,Dade,Opa Locka,FL,Miami-Dade County,15100 NW 27TH AVE,33054,0,Here'S Help
205,Gratigny Elementary School,Dade,Miami,FL,Miami-Dade County,11905 N MIAMI AVE,33168,0,Gratigny Elementary School
